10,0,11,11,1,12,0,0,4,at_coder/arc010/A/1768448.py,at_coder/arc010/A,40892
12,8,27,27,4,17,0,0,9,at_coder/arc010/A/1175924.py,at_coder/arc010/A,40875
9,0,12,12,1,9,0,0,7,at_coder/arc010/A/1399419.py,at_coder/arc010/A,40914
8,4,10,10,1,10,0,0,5,at_coder/arc010/A/4620688.py,at_coder/arc010/A,40885
12,0,14,14,1,13,0,0,6,at_coder/arc010/A/1348436.py,at_coder/arc010/A,40884
9,1,10,10,2,10,0,0,4,at_coder/arc010/A/2519274.py,at_coder/arc010/A,40896
5,3,12,12,2,5,0,0,4,at_coder/arc010/A/1714820.py,at_coder/arc010/A,40908
13,0,17,17,1,13,0,1,6,at_coder/arc010/A/3973195.py,at_coder/arc010/A,40891
1,2,73,73,0,2,0,0,0,at_coder/arc010/B/3262607.py,at_coder/arc010/B,40939
2,2,1,1,0,3,1,0,1,at_coder/arc010/B/3264583.py,at_coder/arc010/B,40919
27,6,36,36,4,28,0,0,13,at_coder/arc010/B/1179622.py,at_coder/arc010/B,40927
14,0,78,78,2,15,0,0,21,at_coder/arc010/B/1348438.py,at_coder/arc010/B,40930
5,1,7,7,1,5,0,0,5,at_coder/arc017/A/3382389.py,at_coder/arc017/A,42300
1,13,21,21,1,3,1,0,10,at_coder/arc017/A/4621303.py,at_coder/arc017/A,42305
12,10,30,30,4,20,3,1,23,at_coder/arc017/A/4245275.py,at_coder/arc017/A,42304
6,0,14,14,2,6,0,0,6,at_coder/arc017/A/1662470.py,at_coder/arc017/A,42310
0,0,0,0,0,37,0,0,0,at_coder/arc017/A/3943267.py,at_coder/arc017/A,42288
7,1,4,4,1,9,0,0,4,at_coder/arc017/A/4224316.py,at_coder/arc017/A,42318
5,0,9,9,1,5,0,0,7,at_coder/arc017/A/3733808.py,at_coder/arc017/A,42294
8,0,9,9,2,8,0,0,3,at_coder/arc017/A/2358140.py,at_coder/arc017/A,42295
1,0,0,0,0,2,0,0,0,at_coder/arc017/C/4715028.py,at_coder/arc017/C,42375
10,17,17,17,2,26,2,0,7,at_coder/arc017/C/1833716.py,at_coder/arc017/C,42374
18,0,39,39,8,18,0,0,12,at_coder/arc017/C/3333648.py,at_coder/arc017/C,42365
0,4,51,51,0,1,0,0,0,at_coder/arc017/C/3467996.py,at_coder/arc017/C,42360
12,0,18,18,1,12,0,0,7,at_coder/arc017/B/4224455.py,at_coder/arc017/B,42334
13,15,35,35,6,16,0,0,11,at_coder/arc017/B/1155346.py,at_coder/arc017/B,42352
4,0,24,24,0,4,0,0,8,at_coder/arc028/A/3816001.py,at_coder/arc028/A,67395
0,1,9,9,1,1,0,0,2,at_coder/arc028/A/4363365.py,at_coder/arc028/A,67381
0,1,8,8,0,2,0,0,3,at_coder/arc028/A/2282718.py,at_coder/arc028/A,67411
1,0,2,2,0,2,0,0,3,at_coder/arc028/A/3898174.py,at_coder/arc028/A,67393
6,0,7,7,0,6,0,0,4,at_coder/arc028/A/2308455.py,at_coder/arc028/A,67384
