"29602","19995","0"
"42670","6820","0"
"9270","38097","0"
"33654","31088","0"
"64300","1049","0"
"71902","9754","0"
"4392","8665","0"
"21154","45531","0"
"57872","72279","0"
"60513","68072","0"
"63264","26516","0"
"67760","74748","0"
"33316","55955","0"
"73469","8076","0"
"35214","74137","0"
"223","72370","0"
"13083","20278","0"
"14316","735","0"
"4123","44959","0"
"42490","51195","0"
"30855","58252","0"
"63907","29377","0"
"64263","15300","0"
"52543","51737","0"
"10904","55468","0"
"43411","54658","0"
"73471","67477","0"
"75973","44560","0"
"41941","14036","0"
"53911","67524","0"
"4974","60185","0"
"9266","73690","0"
"23183","6919","0"
"68242","71932","0"
"72130","7782","0"
"43603","5152","0"
"13212","60978","0"
"5906","10586","0"
"1658","47114","0"
"54870","7884","0"
"15280","71243","0"
"58170","20439","0"
"48082","3923","0"
"15771","24224","0"
"26930","51827","0"
"66045","38587","0"
"42987","28005","0"
"72138","21916","0"
"46905","38887","0"
"65299","44832","0"
"52664","15395","0"
"61153","72094","0"
"73667","70534","0"
"38466","58401","0"
"29320","63938","0"
"20946","73357","0"
"63554","40610","0"
"173","33961","0"
"62006","72100","0"
"54094","43973","0"
"41598","6911","0"
"44075","58249","0"
"31771","29763","0"
"69675","74593","0"
"6666","53631","0"
"29271","54013","0"
"3893","10090","0"
"69675","54912","0"
"76129","29059","0"
"810","48095","0"
"64247","74521","0"
"37514","16486","0"
"62704","13058","0"
"54953","73543","0"
"61751","12898","0"
"20716","2464","0"
"52765","65731","0"
"58610","44820","0"
"71423","11209","0"
"68630","69596","0"
"22567","31574","0"
"44957","60113","0"
"66595","44569","0"
"73078","30801","0"
"66569","34372","0"
"29340","48668","0"
"42995","59291","0"
"51054","62962","0"
"26985","7413","0"
"38715","69641","0"
"73396","20217","0"
"71013","44737","0"
"75617","47835","0"
"43201","47270","0"
"18949","34298","0"
"21913","53040","0"
"37246","767","0"
"72547","8209","0"
"19738","33274","0"
"33127","61725","0"
"58132","5728","0"
"61071","25306","0"
"53214","47431","0"
"39857","76080","0"
"62744","26727","0"
"14125","73147","0"
"57445","18642","0"
"13600","47073","0"
"37909","19292","0"
"24208","66351","0"
"46616","18383","0"
"41049","23482","0"
"274","40755","0"
"26257","2946","0"
"24022","25699","0"
"18125","53106","0"
"68655","21947","0"
"58721","41765","0"
"42844","58111","0"
"69014","58691","0"
"43997","42739","0"
"6006","57997","0"
"65297","73271","0"
"14106","13504","0"
"70829","59340","0"
"44165","8780","0"
"36052","40631","0"
"12612","6326","0"
"26297","12957","0"
"46187","32756","0"
"14618","48766","0"
"71524","27551","0"
"53199","56875","0"
"42105","50536","0"
"66256","55383","0"
"63839","64427","0"
"48443","72532","0"
"23509","42961","0"
"19074","51098","0"
"74287","39402","0"
"32732","51332","0"
"28323","30397","0"
"20709","57075","0"
"45","30413","0"
"35841","46210","0"
"36104","25067","0"
"3572","36863","0"
"53755","59183","0"
"74726","52128","0"
"29822","30391","0"
"45586","62231","0"
"59734","69325","0"
"1495","20176","0"
"75830","60548","0"
"34969","33301","0"
"14330","37013","0"
"70178","56302","0"
"14620","14171","0"
"71372","26754","0"
"75812","9610","0"
"30946","31790","0"
"23451","61938","0"
"17245","54519","0"
"25480","14493","0"
"25138","10596","0"
"33432","51782","0"
"12273","58209","0"
"2473","24519","0"
"38260","15979","0"
"37406","50682","0"
"19821","13643","0"
"35111","17993","0"
"63823","66952","0"
"9120","71929","0"
"68370","5981","0"
"1926","63514","0"
"51425","14270","0"
"49129","64141","0"
"23324","64295","0"
"48293","34309","0"
"49887","234","0"
"19888","58838","0"
"54770","56407","0"
"15523","66693","0"
"33924","60487","0"
