11,1,12,12,2,12,0,0,10,at_coder/arc010/A/3973195.java,at_coder/arc010/A,2781
6,1,7,7,1,4,0,0,7,at_coder/arc010/A/1228912.java,at_coder/arc010/A,2772
8,1,9,9,1,9,1,0,9,at_coder/arc010/A/1348436.java,at_coder/arc010/A,2774
7,1,7,7,1,8,0,0,7,at_coder/arc010/A/1709261.java,at_coder/arc010/A,2790
10,4,12,12,2,19,0,1,15,at_coder/arc010/A/4082906.java,at_coder/arc010/A,2801
10,1,12,12,1,11,1,0,9,at_coder/arc010/A/2525667.java,at_coder/arc010/A,2791
6,1,7,7,1,7,0,0,7,at_coder/arc010/A/4563242.java,at_coder/arc010/A,2785
8,1,7,7,1,9,0,0,7,at_coder/arc010/A/4198079.java,at_coder/arc010/A,2780
19,2,47,47,5,29,0,1,57,at_coder/arc010/A/4438780.java,at_coder/arc010/A,2803
8,1,9,9,1,9,0,0,9,at_coder/arc010/A/1399419.java,at_coder/arc010/A,2804
9,1,10,10,2,10,0,0,9,at_coder/arc010/A/1521481.java,at_coder/arc010/A,2767
8,1,10,10,2,9,0,0,9,at_coder/arc010/A/1768448.java,at_coder/arc010/A,2782
4,1,15,15,2,6,0,0,9,at_coder/arc010/A/2519274.java,at_coder/arc010/A,2786
21,9,44,44,10,39,10,0,41,at_coder/arc010/A/1175924.java,at_coder/arc010/A,2765
7,1,7,7,1,5,0,0,7,at_coder/arc010/A/1515101.java,at_coder/arc010/A,2802
60,11,38,38,9,55,1,1,34,at_coder/arc010/A/3474223.java,at_coder/arc010/A,2778
25,3,59,59,6,42,1,1,62,at_coder/arc010/B/3262607.java,at_coder/arc010/B,2829
332,239,826,826,184,787,8,2,710,at_coder/arc010/B/3176935.java,at_coder/arc010/B,2822
34,4,66,66,9,52,1,1,66,at_coder/arc010/B/3264583.java,at_coder/arc010/B,2809
26,9,54,54,11,46,10,0,47,at_coder/arc010/B/1179622.java,at_coder/arc010/B,2817
15,1,107,107,4,19,1,0,45,at_coder/arc010/B/1348438.java,at_coder/arc010/B,2820
3,2,6,6,1,6,0,0,9,at_coder/arc017/A/4224316.java,at_coder/arc017/A,4208
6,1,11,11,3,7,0,0,9,at_coder/arc017/A/2358140.java,at_coder/arc017/A,4185
3,1,4,4,1,4,0,0,5,at_coder/arc017/A/2251941.java,at_coder/arc017/A,4181
5,4,20,20,1,16,0,2,27,at_coder/arc017/A/3898210.java,at_coder/arc017/A,4173
3,1,5,5,1,5,0,0,5,at_coder/arc017/A/1532482.java,at_coder/arc017/A,4186
79,33,101,101,11,144,7,1,83,at_coder/arc017/A/2606509.java,at_coder/arc017/A,4179
3,1,5,5,1,4,0,0,5,at_coder/arc017/A/3858876.java,at_coder/arc017/A,4205
43,15,88,88,4,69,0,5,59,at_coder/arc017/A/3943267.java,at_coder/arc017/A,4178
17,8,42,42,6,37,0,2,56,at_coder/arc017/A/4621303.java,at_coder/arc017/A,4195
15,6,35,35,4,38,0,1,34,at_coder/arc017/A/4657412.java,at_coder/arc017/A,4203
2,1,7,7,1,5,0,0,7,at_coder/arc017/A/3382389.java,at_coder/arc017/A,4190
15,2,30,30,6,31,0,0,21,at_coder/arc017/C/1709734.java,at_coder/arc017/C,4246
21,3,48,48,10,25,0,0,30,at_coder/arc017/C/3459093.java,at_coder/arc017/C,4263
24,9,55,55,9,59,0,2,42,at_coder/arc017/C/3467996.java,at_coder/arc017/C,4250
25,5,84,84,10,38,0,1,53,at_coder/arc017/C/4715028.java,at_coder/arc017/C,4265
32,10,52,52,13,53,0,2,50,at_coder/arc017/C/2234974.java,at_coder/arc017/C,4252
20,3,46,46,9,24,0,0,32,at_coder/arc017/C/3459080.java,at_coder/arc017/C,4256
21,1,33,33,8,33,0,0,23,at_coder/arc017/C/3333648.java,at_coder/arc017/C,4255
308,232,738,738,169,746,8,2,667,at_coder/arc017/B/3149642.java,at_coder/arc017/B,4228
